num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
1,Austcare,"Niribili Pital Building (1st Floor),
House-49, Block-B, Soykat R/A,
Cox'sBazar",2382,31-Jul-08,,31-Jul-13,Cox'sBazar,Australia,
2,"Australian Baptist
Misionary Society, The","Jarina Cottage, 110, Monipuripara,
Gate-01, Tejgaon, Dhaka-1215
Phone: 9102325, Fax: 9102324",93,22-Apr-81,15-May-15,15-May-20,Dhaka,Australia,
3,"Co-operation in
Development of
Bangladesh","Ward-06, Post: Char Fassion, Dist:
Bhola-8340
Phone: 01715050340
www.fredhyde.org",99,07-Jun-91,07-Jul-21,06-Jul-31,Bhola,Australia,
4,"Human Appeal
International
Bangladesh","Unit-4A, House-10, Road-01,
Sector-14, Uttara Model Town,
Dhaka.
Phone: 01757160560",3092,26-Oct-17,,26-Oct-27,Dhaka,Australia,
5,"Save The Children Fund
(Australia)","House-3/1, Road-08, Dhanmondi,
Dhaka-1205
Phone: 9611599, Fax: 9611600
www.savethechildren.org.au",212,21-Jan-87,21-Jan-11,21-Jan-16,Dhaka,Australia,
6,Symbiosis Bangladesh,"Rupayan View, Flat-D-1, Road-2/A,
Sector-05, Uttara, Dhaka.
Phone: 8871434",895,09-Feb-95,09-Feb-20,09-Feb-30,Dhaka,Australia,
7,"The Glencoe
Foundation","House-114, Road-15, Block-C,
Banani, Dhaka-1213
Phone: 9855324, Fax: 9855324",2605,27-Oct-10,27-Oct-20,27-Oct-30,Dhaka,Australia,
8,"Transform Aid
International
Bangladesh","86 Monipuripara (1st Floor), Flat
No. A5, Farmgate, Tejgaon, Dhaka-
1215
Phone: 9123277
Email: abwaid@bdcom.com",1324,21-Dec-98,21-Dec-18,21-Dec-28,Dhaka,Australia,
9,"SONNE International,
Austria","PC Culture Housing Society
House-21, Road-03, Block-Kha,
Shekhertek, Mohammadpur,
Dhaka.
Phone: 01713-040837, 01911-",2399,11-Jan-09,11-Jan-19,11-Jan-29,Dhaka,Austria,
10,"SOS - Children's Village
International in
Bangladesh","1, Shyamoli, Mirpur Road, Dhaka
Phone : 8118189
www.sos-bangladesh.org",46,22-Apr-81,15-May-20,15-May-30,Dhaka,Austria,
11,DAKBHANGA,"Nur Villa (Gr. Floor), Thana Road,
Sipahi Para, Ramu, Cox'sBazar.
Phone: 01711-112159, 01819-
928751, 01819-934935",1952,31-Aug-04,31-Aug-19,31-Aug-29,Cox'sBazar,Belgium,
12,Damien Foundation,"House-24, Road-18, Block-A,
Banani Model Town, Dhaka.
Phone : 8822189, Fax: 8810989",583,01-Nov-92,11-Jan-22,10-Jan-32,Dhaka,Belgium,
13,"Medicins Sans
Frontieres-Belgium
(MSFB)","House-16, Road-32, Gulshan-1,
Dhaka.
Phone: 8817134-6",2473,06-Aug-09,06-Aug-14,06-Aug-24,Dhaka,Belgium,
14,Families for Children,"House-01, Road-10, Sector-09,
Uttara, Dhaka-1230
Phone: 5895219, Fax: 8918197-8",48,22-Apr-81,15-May-20,14-May-30,Dhaka,Canada,
,,,,,,,,,
15,"New Apostolic Church
Bangladesh","House-104, Road-18, Sector-14,
Uttara Model Town, Dhaka-1230
Phone: 7913840
www.newapostalichurch.org",104,09-Mar-81,15-May-21,14-May-31,Dhaka,Canada,
16,Nutrition International,"House-56/C, Road-132, Gulshan-1,
Dhaka-1212
Phone: 9899896, Fax: 8815154",2266,26-Aug-07,26-Aug-17,26-Aug-27,Dhaka,Canada,
17,"Society for International
Ministries (SIM)","4/14 Humayun Road
Mohammadpur, Dhaka.
Phone: 04478005870",105,03-Sep-81,15-May-20,15-May-30,Dhaka,Canada,
18,"South Asia Partnership
Bangladesh (SAP-B)","H-63, Block-KA, Mdpur Housing,
Pis. & Farming Cooperative,
Dhaka.
Phone : 8112103
www.sap-bd.org",156,29-Mar-84,14-May-20,14-May-30,Dhaka,Canada,
19,"Stretched Arm Society-
Bangladesh","Plot-369, Block-D, Bashundara,
Dhaka-1212.",2228,05-Aug-07,,05-Aug-12,Dhaka,Canada,
20,"Unitarian Service
Committee of Canada in
Bangladesh","4/1, Iqbal Road, Mohammadpur,
Dhaka
Phone : 8112031",114,30-Dec-81,15-May-10,15-May-15,Dhaka,Canada,
21,"3F-United Federation of
Danish Workers","Road-54, Houase-11/A, Apartment-
B/4, Gulshan, Dhaka, Phone: 01764-
405244",2843,10-Dec-13,10-Dec-18,10-Dec-28,Dhaka,Denmark,
22,"Bangladesh Lutheran
Mission, Danish (BLM-
D)","3/13, Iqbal Road, Mohammadpur,
Dhaka
Phone : 9129747",103,03-Sep-81,15-May-05,15-May-10,Dhaka,Denmark,
23,Dan Church Aid,"House-83, Apart-A/3, Road-23,
Gulshan, Dhaka.
Phone: 8834343
www.danchurch.org",2596,14-Sep-10,14-Sep-20,14-Sep-30,Dhaka,Denmark,
