num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
1,"Model Livestock
Advancement Foundation","Model Lifestock Institute, Dhaka
Campus, Demra, Dhaka.
Phone: 01719889294",3155,25-Jun-18,25-Jun-18,25-Jun-28,Dhaka,Bangladesdh,
2,"A Shelter for Helpless Ill
Children (ASHIC)","House-52, Road-3/A,
Dhanmondi, R/A, Dhaka
Phone :9673982
www.ashic.org",1067,26-Aug-96,26-Aug-21,25-Aug-31,Dhaka,Bangladesh,
3,A.B. Foundation,"Vill., Post + Upazilla: Chirirbandar,
Dist: Dinajpur
Phone: 01711-530611",2024,05-Apr-05,05-Apr-20,04-Apr-30,Dinajpur,Bangladesh,
4,A.M. Foster Care,"House-38, Road-04, Sector--05,
Uttara Model Town, Dhaka-1230.
Phone: 01715-475282",2397,22-Dec-08,22-Dec-13,22-Dec-18,Dhaka,Bangladesh,
5,Abalamban,"Pachimpara, Post: Gaibandha,
Upazilla: Gaibandha Sadar, Dist.:
Gaibandha.
Phone: 0541-62388",2326,27-Mar-08,27-Mar-18,27-Mar-28,Gaibandha,Bangladesh,
6,"Abdul Halim Khan
Foundation","1257, Khorompatty, Post+Upazila:
Sadar, Kishoreganj, Tel:
01711681660",3123,19-Dec-17,,19-Dec-27,Kishorganj,Bangladesh,
7,"Abdul Momen Khan
Memorial Foundation
(Khan Foundation)","5 Momenbagh, Dhaka-1217
Phone : 9330323",780,04-Dec-93,04-Dec-18,04-Dec-28,Dhaka,Bangladesh,
8,"Abdur Rashid Khan
Thakur Foundation","Chapailghat Road, UZ+Zila:
gopalganj-8100
Phone: 8034489, 01911-352919
www.arktf.org",2229,05-Aug-07,08-May-17,08-May-27,Gopalganj,Bangladesh,
9,"Abed Satter Pathen
Foundation","118 Isdair, Fatullah, Narayanganj
Phone: 0190-251515",2842,03-Dec-13,03-Dec-18,03-Dec-28,Narayanganj,Bangladesh,
10,"Abeda Mannan
Foundation (AMF)","Vill: Chulash, Post Office: Maricha,
Upazilla: Debidwar, Dist: Comilla.
Phone: 01552409539, 02-8832921
www.abedamannafoundation.org",2582,15-Jun-10,15-Jun-20,15-Jun-30,Dhaka,Bangladesh,
11,"Abohalito Nari O Shishu
Kallan Songsta
(ANAMIKA)","Habib Mansion, Rasulbag, PO:
Langolkhali, Lalmohon, Bhola
Phone: 01718730322,
01791584260,
email:anamikamir322@gmail.com",1951,17-Aug-04,17-Aug-19,17-Aug-29,Bhola,Bangladesh,
12,"Abu Sobhan Welfare
Trust","House-29/A, Old DOHS Road,
Banani, Dhaka.",2805,30-Jul-13,30-Jul-18,30-Jul-28,Dhaka,Bangladesh,
