num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,country,remarks
1,3F-United Federation of,"Road-54, Houase-11/A,",2843,10-Dec-13,10-Dec-18,10-Dec-28,Dhaka,Denmark,
1,Danish Workers,"Apartment-B/4, Gulshan,",,,,,,,
1,,"Dhaka, Phone: 01764-405244",,,,,,,
2,A Shelter for Helpless Ill,"House-52, Road-3/A,",1067,26-Aug-96,26-Aug-16,26-Aug-21,Dhaka,Bangladesh,
2,Children (ASHIC),"Dhanmondi, R/A, Dhaka",,,,,,,
2,,Phone :9673982,,,,,,,
2,,www.ashic.org,,,,,,,
3,A.B. Foundation,"Vill., Post + Upazilla:",2024,5-Apr-05,5-Apr-15,5-Apr-20,Dinajpur,Bangladesh,
3,,"Chirirbandar, Dist: Dinajpur",,,,,,,
3,,Phone: 01711-530611,,,,,,,
4,A.M. Foster Care,"House-38, Road-04, Sector--05,",2397,22-Dec-08,22-Dec-13,22-Dec-18,Dhaka,Bangladesh,
4,,"Uttara Model Town, Dhaka-1230",,,,,,,
4,,Phone: 01715-475282,,,,,,,
5,Abalamban,"Pachimpara, Post: Gaibandha,",2326,27-Mar-08,27-Mar-13,27-Mar-18,Gaibandha,Bangladesh,
,,"Upazilla: Gaibandha Sadar,",,,,,,,
,,Dist.: Gaibandha.,,,,,,,
,,Phone: 0541-62388,,,,,,,
6,Abdul Halim Khan,"1257, Khorompatty,",3123,19-Dec-17,,19-Dec-27,Kishorganj,Bangladesh,
,Foundation,"Post+Upazila: Sadar,",,,,,,,
,,"Kishoreganj, Tel: 01711681660",,,,,,,
7,Abdul Momen Khan,"5 Momenbagh, Dhaka-1217",780,4-Dec-93,4-Dec-18,4-Dec-28,Dhaka,Bangladesh,
,Memorial Foundation,Phone : 9330323,,,,,,,
,(Khan Foundation),,,,,,,,
8,Abdur Rashid Khan,"Chapailghat Road, UZ+Zila:",2229,5-Aug-07,8-May-17,8-May-27,Gopalganj,Bangladesh,
,Thakur Foundation,gopalganj-8100,,,,,,,
,,"Phone: 8034489, 01911-352919",,,,,,,
,,www.arktf.org,,,,,,,
9,Abed Satter Pathen,"118 Isdair, Fatullah,",2842,3-Dec-13,3-Dec-18,3-Dec-28,Narayanganj,Bangladesh,
,Foundation,Narayanganj,,,,,,,
,,Phone: 0190-251515,,,,,,,
10,Abeda Mannan Foundation,"Vill: Chulash, Post Office:",2582,15-Jun-10,15-Jun-15,15-Jun-20,Dhaka,Bangladesh,
,(AMF),"Maricha, Upazilla: Debidwar,",,,,,,,
,,Dist: Comilla.,,,,,,,
,,"Phone: 01552409539, 02-",,,,,,,
,,8832921,,,,,,,
,,www.abedamannafoundation.org,,,,,,,
11,ABFA-USA-INC\,"House-27, Road-04, Section-04,",2176,24-Dec-06,,24-Dec-11,Dhaka,USA,
,,"Uttara, Dhaka.",,,,,,,
12,Abohalito Nari O Shishu,"House-B-165, Block-B, Eastern",1951,17-Aug-04,17-Aug-14,17-Aug-19,Dhaka,Bangladesh,
,Kallan Songsta (ANAMIKA),"Housing Pallabi, Phase-2,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone: 8024220, 01711-007821",,,,,,,
13,Abu Sobhan Welfare Trust,"House-29/A, Old DOHS Road,",2805,30-Jul-13,30-Jul-18,30-Jul-28,Dhaka,Bangladesh,
,,"Banani, Dhaka.",,,,,,,
14,Academy for Educational,"South Breeze, House-08,",2514,8-Nov-09,,8-Nov-14,Dhaka,USA,
,Development (AED),"Gulshan Avenue, Gulshan-01,",,,,,,,
,,Dhaka.,,,,,,,
,,Phone: 01714-174370,,,,,,,
15,Access Bangladesh,"10 Tarapur, Savar, Dhaka.",2461,18-Jun-09,18-Jun-14,18-Jun-19,Dhaka,Bangladesh,
,Foundation,"Phone: 7743145, Fax: 7743480",,,,,,,
,,www.accessbangladesh.org,,,,,,,
16,Access Toward Livelihood,"81/80, Hazra Natore, Post:",2102,6-Jun-06,6-Jun-16,6-Jun-21,Natore,Bangladesh,
,and Welfare Organisation,"Natore-4600, PS: Natore, Dist:",,,,,,,
,(ALWO),Natore.,,,,,,,
,,Phone: 0771-61255,,,,,,,
17,ACDI/VOCA,"House-30, Road-19/A, Banani,",2580,3-Jun-10,3-Jun-15,3-Jun-20,Dhaka,USA,
,,Dhaka-1213,,,,,,,
,,Phone: 8836801,,,,,,,
18,Acid Survivours Foundation,"Plot-A/5, Level-6, CRP Bhaban,",1501,9-Apr-00,9-Apr-15,9-Apr-20,Dhaka,Bangladesh,
,,"Block-A, Sec-14, Mirpur, Dhaka-",,,,,,,
,,1200,,,,,,,
,,Phone: 09678777148,,,,,,,
,,www.acidsurvisors.org,,,,,,,
19,Action Aid- Bangladesh,"House- 8, Road-136, Gulshan-",210,27-Apr-86,27-Apr-16,27-Apr-21,Dhaka,UK,
,,"1, Dhaka",,,,,,,
,,"Phone :9888006, 55044851-7",,,,,,,
,,www.actionaid.org,,,,,,,
20,Action Contre La Faim,"House-23, Road-113/A,",2330,3-Apr-08,3-Apr-18,3-Apr-28,Dhaka,France,
,,"Gulshan-2, Dhaka.",,,,,,,
,,"Phone: 8810132, 8810347",,,,,,,
,,www.actioncontrelafaim.org,,,,,,,
21,Action Five,"Gaokura, Kacharipara,",2830,4-Nov-13,4-Nov-18,4-Nov-28,Jamalpur,Bangladesh,
,,"Islampur, Jamalpur",,,,,,,
,,Phone: 01728-782643,,,,,,,
22,Action for Enterprise,"House-03, Apt. 3A4, Nam Villa,",2427,28-Apr-09,28-Apr-14,28-Apr-19,Dhaka,USA,
,,"Road-06, Gulshan-01, Dhaka-",,,,,,,
,,1212,,,,,,,
,,Phone: 8817277,,,,,,,
,,E-mail:,,,,,,,
,,info@actionforenterprise.org,,,,,,,
,,Website:,,,,,,,
23,Action for Rural Poor (ARP),"Upazila Road, Bakshigonj,",2796,27-Jun-13,27-Jun-18,27-Jun-28,Jamalpur,Bangladesh,
,,Jamalpur,,,,,,,
,,Phone: 01716-763785,,,,,,,
24,Action for Social,"6/2A, Sir Syed Road,",488,8-Jun-91,8-Jun-16,8-Jun-26,Dhaka,Bangladesh,
,Development (ASD),"Mohammadpur, Dhaka.",,,,,,,
,,"Phone : 9118475, Fax: 9118475",,,,,,,
,,www.asd.org.bd,,,,,,,
25,Action in Bangladesh,"Sadar Road, Kalai, P.O Box No.",2601,5-Oct-10,,5-Oct-15,Joypurhat,Bangladesh,
,,"5390, Kalai, Joypurhat.",,,,,,,
,,Phone: 215-222-442,,,,,,,
26,Action on Disability &,"House-56, Road-11, Block-C,",804,13-Feb-94,13-Feb-19,13-Feb-29,Dhaka,UK,
,Development,"Banani, Dhaka.",,,,,,,
,,"Phone : 8832037, Fax: 8831228",,,,,,,
,,"www.add.org.bd,",,,,,,,
,,mosharraf.doc@gmail.com,,,,,,,
27,Activities for the Landless,"Patkelgata Bazar, Thana: Tala,",439,5-Feb-91,5-Feb-15,5-Feb-20,Sathkhira,Bangladesh,Cancelled on
,Organised with,Satkhira,,,,,,,"25/10/2010,"
,Consciousness (ALOC),,,,,,,,Revived on
,,,,,,,,,12/5/2016
