num_var,ngo_name,ngo_address,reg_no,reg_date,renewed_on,valid_until,district,county,remarks
1,3F-United Federation of,"Road-54, Houase-11/A,",2843,10-Dec-13,10-Dec-18,10-Dec-28,Dhaka,Denmark,
,Danish Workers,"Apartment-B/4,",,,,,,,
,,"Gulshan, Dhaka,",,,,,,,
,,Phone: 01764-405244,,,,,,,
2,ABFA-USA-INC\,"House-27, Road-04,",2176,24-Dec-06,,24-Dec-11,Dhaka,USA,
,,"Section-04, Uttara,",,,,,,,
,,Dhaka.,,,,,,,
3,Academy for,"South Breeze, House-",2514,8-Nov-09,,8-Nov-14,Dhaka,USA,
,Educational,"08, Gulshan Avenue,",,,,,,,
,Development (AED),"Gulshan-01, Dhaka.",,,,,,,
,,Phone: 01714-174370,,,,,,,
4,ACDI/VOCA,"House-30, Road-19/A,",2580,3-Jun-10,3-Jun-15,3-Jun-20,Dhaka,USA,
,,"Banani, Dhaka-1213",,,,,,,
,,Phone: 8836801,,,,,,,
5,Action Aid- Bangladesh,"House- 8, Road-136,",210,27-Apr-86,27-Apr-16,27-Apr-21,Dhaka,UK,
,,"Gulshan-1, Dhaka",,,,,,,
,,"Phone :9888006,",,,,,,,
,,55044851-7,,,,,,,
,,www.actionaid.org,,,,,,,
6,Action Contre La Faim,"House-23, Road-113/A,",2330,3-Apr-08,3-Apr-18,3-Apr-28,Dhaka,France,
,,"Gulshan-2, Dhaka.",,,,,,,
,,"Phone: 8810132,",,,,,,,
,,8810347,,,,,,,
,,www.actioncontrelafaim,,,,,,,
,,.org,,,,,,,
7,Action for Enterprise,"House-03, Apt. 3A4,",2427,28-Apr-09,28-Apr-14,28-Apr-19,Dhaka,USA,
,,"Nam Villa, Road-06,",,,,,,,
,,"Gulshan-01, Dhaka-",,,,,,,
,,1212,,,,,,,
,,Phone: 8817277,,,,,,,
,,E-mail:,,,,,,,
,,info@actionforenterpris,,,,,,,
8,Action on Disability &,"House-56,",804,13-Feb-94,13-Feb-19,13-Feb-29,Dhaka,UK,
,Development,"Block-C, Banani,",,,,,,,
,,Dhaka.,,,,,,,
,,"Phone : 8832037, Fax:",,,,,,,
,,8831228,,,,,,,
,,"www.add.org.bd,",,,,,,,
,,mosharraf.doc@gmail.c,,,,,,,
9,Adventist Development,"149, Shah Ali Bagh,",73,22-Apr-81,15-May-15,15-May-20,Dhaka,USA,
,& Relief Agency,"Mirpur-1, Dhaka",,,,,,,
,International (ADRA),Phone : 8014096,,,,,,,
,,www.adrabd.org,,,,,,,
10,"AIDA, Ayuda,","Flat-5A, House-487,",2441,26-May-09,26-May-14,26-May-19,Dhaka,Spain,
,Intercambio Y Desarrollo,"Road-08, DOHS",,,,,,,
,,"Baridhara, Dhaka",,,,,,,
,,Phone: 01745-777219,,,,,,,
,,Www.ong-aida.org,,,,,,,
