"","num_var","ngo_name","ngo_address","reg_no","reg_date","renewed_on","valid_until","district","county","remarks","type_ngo"
"1",1,"3F-United Federation of Danish Workers ","Road-54, Houase-11/A, Apartment-B/4, Gulshan, Dhaka, Phone: 01764-405244","2843  ","10-Dec-13  ","10-Dec-18  ","10-Dec-28  ","Dhaka  ","Denmark  ","  ","local"
"2",2,"A Shelter for Helpless Ill Children (ASHIC)  ","House-52, Road-3/A, Dhanmondi, R/A, Dhaka Phone :9673982 www.ashic.org","1067   ","26-Aug-96   ","26-Aug-16   ","26-Aug-21   ","Dhaka   ","Bangladesh   ","   ","local"
"3",3,"A.B. Foundation  ","Vill., Post + Upazilla: Chirirbandar, Dist: Dinajpur Phone: 01711-530611","2024  ","5-Apr-05  ","5-Apr-15  ","5-Apr-20  ","Dinajpur  ","Bangladesh  ","  ","local"
"4",4,"A.M. Foster Care  ","House-38, Road-04, Sector--05, Uttara Model Town, Dhaka-1230 Phone: 01715-475282","2397  ","22-Dec-08  ","22-Dec-13  ","22-Dec-18  ","Dhaka  ","Bangladesh  ","  ","local"
"5",5,"Abalamban   ","Pachimpara, Post: Gaibandha, Upazilla: Gaibandha Sadar, Dist.: Gaibandha. Phone: 0541-62388","2326   ","27-Mar-08   ","27-Mar-13   ","27-Mar-18   ","Gaibandha   ","Bangladesh   ","   ","local"
"6",6,"Abdul Halim Khan Foundation ","1257, Khorompatty, Post+Upazila: Sadar, Kishoreganj, Tel: 01711681660","3123  ","19-Dec-17  ","  ","19-Dec-27  ","Kishorganj  ","Bangladesh  ","  ","local"
"7",7,"Abdul Momen Khan Memorial Foundation (Khan Foundation)","5 Momenbagh, Dhaka-1217 Phone : 9330323 ","780  ","4-Dec-93  ","4-Dec-18  ","4-Dec-28  ","Dhaka  ","Bangladesh  ","  ","local"
"8",8,"Abdur Rashid Khan Thakur Foundation  ","Chapailghat Road, UZ+Zila: gopalganj-8100 Phone: 8034489, 01911-352919 www.arktf.org","2229   ","5-Aug-07   ","8-May-17   ","8-May-27   ","Gopalganj   ","Bangladesh   ","   ","local"
"9",9,"Abed Satter Pathen Foundation ","118 Isdair, Fatullah, Narayanganj Phone: 0190-251515","2842  ","3-Dec-13  ","3-Dec-18  ","3-Dec-28  ","Narayanganj  ","Bangladesh  ","  ","local"
"10",10,"Abeda Mannan Foundation (AMF)    ","Vill: Chulash, Post Office: Maricha, Upazilla: Debidwar, Dist: Comilla. Phone: 01552409539, 02- 8832921 www.abedamannafoundation.org","2582     ","15-Jun-10     ","15-Jun-15     ","15-Jun-20     ","Dhaka     ","Bangladesh     ","     ","local"
