,pakistan_listngos,ngo_name,ngo_found,mou_valid,comments
1,5,Sahara Community Development Program,No,No,
2,357,Saba Aslam Education & Welfare,No,No,
3,37,Khubaib Foundation,Yes,No,
4,135,Smile Home Trust,No,No,
5,440,Youth Organization,No,No,Name too vague
6,19,Pakistani HoslamandKhwateen Network,No,No,
7,454,Sahara for Life Trust,Yes,No,
8,280,Mother Nest Special Education Society,No,No,
9,76,Indus Consortium for Humanitarian Environmental and Development Initiatives,No,No,
10,195,M/S Iqbal Hamid Trust,No,No,
11,206,M/S Islampur Cottage Industries Association,No,No,
12,307,Vision for the Kingdom in Pakistan,No,No,
13,193,M/S Association for Humanitarian Development,No,No,
14,12,Foundation for Rural Development,No,No,
15,277,Fellowship of Brethren Churches of Pakistan,No,No,
16,396,Society for Human Empowerment and Rural Development,No,No,
17,164,M/S Pak Development Mission,No,No,
18,189,M/S Society for Community Strengthening and Promotion of Education Balochistan,No,No,
19,217,M/S Lahore Diocesan Board of Education,No,No,
20,176,M/S Haydari Benevolent Trust,No,No,
21,281,Friends Welfare Trust,No,No,
22,54,Sindh Agriculture and Forestry Workers Coordinating Organization,No,No,
23,377,Maan Education & Health Development Organization,No,No,
24,369,PIFFA Training Institute,No,No,
25,81,Living Stones Church,No,No,
26,49,Speak Trust,Yes,No,
27,158,Forum for Language Initiatives,Yes,No,
28,287,Indus Rural Development Society,No,No,
29,407,Taskeen Health Initiative,No,No,
30,239,Overflowing Mercy Foundation,No,No,
31,41,Wajood Society,No,No,
32,318,Rozan,Yes,No,
33,267,Al-Nisa Welfare Organization,Yes,No,
34,247,King Jesus Saviour Church Ministries,No,No,
35,252,Dar-ul-Sukun,No,No,
36,285,National Society for Mentally and Emotionally Handicapped Children,No,No,
37,90,Latif Kapadia Memorial Welfare Trust,No,No,
38,184,M/S HBWWC Association,No,No,
39,140,Community Services Program,Yes,No,
40,118,MAWA Trust Pakistan,No,No,
41,199,M/S Dost Welfare Foundation,No,No,
42,210,M/S Sukkar Foundation Trust,No,No,
43,228,M/S Al-Mujitaba Education Trust,No,No,
44,337,Bargad Society of Human Resources,No,No,
45,401,Heritage Foundation,No,No,
46,55,Bedari,Yes,No,
47,399,The Society for Prevention & Cure of Blindness,No,No,
48,192,M/S Aman Institute for Vocational Training,No,No,
49,311,Society Balochistan,Yes,No,"Bright Star Society Baluchistan, might not be the same NGO"
50,73,Community World Service Asia,Yes,No,
